Date,Ticker,Open Price,Close Price,High Price,Low Price,Volume Traded,Market Cap,PE Ratio,Dividend Yield,EPS,52 Week High,52 Week Low,Sector
01-06-2025,AAPL,185.96,187.79,188.85,183.74,42257183,2.93E+12,28.37,0.49,6.62,248.2,155.68,Technology
01-06-2025,ABBV,189.63,193.64,194.31,188.03,33074970,3.29E+11,16.74,3.51,11.57,210.83,127.91,Healthcare
01-06-2025,ABT,118.79,120.08,120.53,118.01,17130934,2.00E+11,19.39,1.84,6.19,140.79,99.26,Healthcare
01-06-2025,ADBE,584.51,567.78,587.97,561.25,11080360,2.46E+11,43.29,0,13.12,727.11,407.82,Technology
01-06-2025,ADP,253.46,255.6,258.59,249.91,10319559,1.05E+11,29.92,2.04,8.54,303.75,234.28,Financials
01-06-2025,AMD,165.43,168.78,170.72,164.07,10584162,2.56E+11,44.72,0,3.77,204.7,142.5,Technology
01-06-2025,AMGN,299.22,302.81,305.29,295.26,14763333,1.54E+11,11.97,3.28,25.3,381.11,260.01,Healthcare
01-06-2025,AMT,202.28,206.84,208.15,200.1,10717215,95852682927,25.69,2.61,8.05,267.69,182.52,Real Estate
01-06-2025,AMZN,166.23,162.71,168.49,161.02,45110313,1.67E+12,40.2,0,4.05,186.89,141.97,Consumer Discretionary
01-06-2025,AVGO,1698.77,1690.55,1720.26,1673.44,15092262,7.76E+11,34.84,1.87,48.52,2029.46,1315.81,Technology
01-06-2025,BAC,45,45.43,46.09,44.68,10966564,3.38E+11,14.08,2.2,3.23,53.76,40.9,Financials
01-06-2025,BKNG,3742.26,3676.42,3794,3649.06,6081945,1.32E+11,24.22,0,151.79,4759.83,2569.42,Consumer Discretionary
01-06-2025,BLK,874.99,873.77,884.46,864.67,3147396,1.35E+11,23.37,2.19,37.39,989.64,721.4,Financials
01-06-2025,BMY,52.76,53.74,53.89,52.33,6599425,1.03E+11,9.62,4.66,5.59,68.67,37.04,Healthcare
01-06-2025,BRK.B,431.9,436.58,440.04,430.73,11973447,9.03E+11,17.99,0,24.27,487.82,300.73,Financials
01-06-2025,C,65.08,65.95,66.09,64.45,2144571,1.27E+11,9.7,3.87,6.8,72.63,51.61,Financials
01-06-2025,CAT,384.02,384.87,387.62,378.61,10665923,2.00E+11,15.35,2.02,25.07,490.87,351.73,Industrials
01-06-2025,CB,237.87,234.62,240.14,232.93,2561958,90975102041,12.76,1.71,18.39,266.6,187.68,Financials
01-06-2025,COST,876.35,863.35,879.47,859.84,33745533,3.75E+11,47.66,0.51,18.11,1077.17,569.56,Consumer Staples
01-06-2025,CRM,271.59,280.4,284.35,268.26,28273280,2.65E+11,32.76,0,8.56,362.11,195.71,Technology
01-06-2025,CVX,158.18,156.17,159.12,155.42,25867511,2.79E+11,15.74,2.72,9.92,180.41,143.05,Energy
01-06-2025,DIS,114.27,115.1,116.54,112.66,8662394,1.99E+11,31.7,0,3.63,124.83,79.92,Communication Services
01-06-2025,DUK,105.44,104.17,106.9,103.9,6758109,77654000000,17.84,3.58,5.84,123.95,82.3,Utilities
01-06-2025,ELV,571.5,561.86,579.64,560.73,6732212,1.27E+11,15.5,1.02,36.25,719.97,513.65,Healthcare
